Nome,Nick em jogo,Idade,Quantidade de títulos,Nacionalidade,Função em game
Aleksi Virolainen,Aleksib,27,3,Finlândia,In-game leader; rifler(support)
Valerij Vakhovsjkyj,b1t,21,11,Ucrânia,Rifler(support)
Justinas Lekavicius,jL,24,1,Lituânia,Rifler(lurker)
Mihai Ivan,iM,24,1,Romênia,Rifler(entry fragger)
Ihor Zhdanov,w0nderful,19,1,Ucrânia,AWPer
Håvard Nygaard,rain,29,21,Noruega,Rifler
Helvijs Saukants,broky,23,11,Letônia,AWPer
Finn Andersen,karrigan,34,26,Dinamarca,In-game Leader; rifler(support)
Robin Kool,ropz,24,19,Estônia,Rifler(lurker)
David Čerňanský,frozen,21,7,Eslováquia,Rifler
Ádám Torzsás,torzsi,21,2,Hungria,AWPer
Dorian Berman,xertioN,19,2,Israel,Rifler (entry fragger)
Kamil  Szkaradek ,siuhy,21,2,Polônia,In-game Leader; Rifler(entry fragger)
Jimi  Salo ,Jimpphat,17,2,Finlândia,Rifler
Ludvig  Brolin,Brollan,21,3,Suécia,Rifler (entry fragger)
Leonid Vishnyakov,chopper,27,2,Rússia,In-game leader ; Rifler (support)
Dmitriy Sokolov,sh1ro,22,9,Rússia,AWPer
Boris Vorobyev,magixx,20,2,Rússia,Rifler (lurker)
Myroslav Plakhotja,zont1x,18,2,Ucrânia,Rifler
Danil Kryshkovets,donk,17,2,Rússia,Rifler (entry fragger)
Nikola Kovač,NiKo,27,14,Bósnia e Herzegovina,Rifler (entry fragger)
Nemanja Kovač,huNter,28,3,Bósnia e Herzegovina,Rifler (lurker)
Nemanja Isaković,nexa,27,1,Sérvia,Rifler (support)
Rasmus Nielsen,HooXi,28,3,Dinamarca,In-game leader; Rifler (entry fragger)
Ilya Osipov,m0NESY,19,3,Rússia,AWPer
Dan Madesclaire,apEX,31,24,França,In-game leader
Mathieu Herbaut,ZywOo,23,12,França,AWPer
Shahar Shushan,flameZ,20,3,Israel,Rifler (entry fragger)
Lotan Giladi,Spinx,23,6,Israel,Rifler (lurker)
William Merriman,mezii,25,2,Inglaterra,Rifler
Engin Küpeli,MAJ3R,33,0,Turquia,In-game leader
İsmailсan Dörtkardeş,XANTARES,28,4,Turquia,Rifler
Özgür Eker,woxic,25,3,Turquia,AWPer
Buğra Arkın,Calyx,25,0,Turquia,Rifler (support)
Ali Haydar,Wicadia,19,0,Turquia,Rifler
Nicolai Reedtz,dev1ce,28,30,Dinamarca,In-game leader
Martin Lund,stavn,22,6,Dinamarca,Rifler
Alexander Bro,br0,22,1,Dinamarca,Rifler
Jakob Nygaard,jabbi,20,2,Dinamarca,Rifler
Victor Staehr,Staehr,19,0,Dinamarca,Rifler
Denis Sharipov,electroNic,25,17,Rússia,Rifler
Evgeniy Lebedev,FL1T,23,2,Rússia,Rifler (lurker)
Dzhami Ali,Jame,25,5,Rússia,In-game leader
David Daniyelyan,n0rb3r7,23,2,Rússia,Rifler
Petr Bolyshev,fame,21,2,Rússia,Rifler
Guy Iluz,NertZ,24,1,Israel,Rifler
René Madsen,TeSeS,23,6,Dinamarca,In-game leader
Rasmus Beck,sjuush,25,5,Dinamarca,Rifler (support)
Abdulkhalik Gasanov,degster,22,0,Rússia,AWPer
Damjan Stoilkovski,kyxsan,23,0,Macedônia do Norte,In-game leader
Jonathan Jablonowski,EliGE,26,10,Estados Unidos,Rifler
Ioannis Theodosiou,JT,25,0,África do Sul,In-game leader
Ricky Kemery,floppy,24,0,Estados Unidos,Rifler
Håkon Fjærli,hallzerk,23,0,Noruega,AWPer
Michael Wince,Grim,23,0,Estados Unidos,Rifler (entry fragger)
Marco Pfeiffer,Snappi,33,1,Dinamarca,In-game leader
Peter Rasmussen,dupreeh,31,32,Dinamarca,Rifler (entry fragger)
Emil Reif,Magisk,26,26,Dinamarca,Rifler
Pavle Bošković,maden,25,1,Montenegro,Rifler (entry fragger)
Alvaro Garcia,SunPayus,25,1,Espanha,AWPer
Rodrigo Bittencourt,biguzera,27,0,Brasil,In-game leader
Lucas Soares,nqz,19,0,Brasil,AWPer
Kaue Kaschuk,kauez,20,0,Brasil,Rifler
João Vinicius,snow,17,0,Brasil,Rifler
Lucas Meneghini,lux,22,0,Brasil,Rifler
Lukas Rossander,gla1ve,28,24,Dinamarca,In-game leader
Krzysztof Górski,Goofy,23,0,Polônia,Rifler
Paweł Dycha,dycha,26,1,Polônia,Rifler
Aleksander Miskiewicz,hades,24,0,Polônia,AWPer
Kacper Walukiewicz,Kylar,24,0,Polônia,Rifler (lurker)
Casper Møller,cadiaN,28,24,Dinamarca,In-game leader
Keith Markovic,NAF,26,0,Canadá,Rifler
Russel Van Dulken,Twistzz,24,1,Canadá,Rifler
Mareks Gaļinskis,YEKINDAR,24,0,Letônia,Rifler (entry fragger)
Felipe Medeiros,skullz,22,0,Brasil,Rifler
Raphael Lacerda,exit,27,0,Brasil,In-game leader
Rafael Costa,saffee,29,0,Brasil,AWPer
André Abreu,drop,20,0,Brasil,Rifler
Breno Poletto,brnz4n,20,0,Brasil,Rifler
Felipe Yuji,insani,20,0,Brasil,Rifler
Henrique Teles,HEN1,28,5,Brasil,AWPer
João Vasconcellos,felps,27,7,Brasil,Rifler (lurker)
Vinicius Figueiredo,VINI,24,3,Brasil,Rifler (support)
Lucas Bacelar,decenty,20,0,Brasil,Rifler (lurker)
Kaiky Santos,noway,19,0,Brasil,Rifler
Garidmagnai Byambasuren,bLitz,22,0,Mongólia,In-game leader
Sodbayar Munkhbold,Techno4K,18,0,Mongólia,Rifler
Azbayar Munkhbold,Senzu,17,0,Mongólia,Rifler
Ayush Batbold,mzinho,16,0,Mongólia,Rifler
Usukhbayar Banzragch,910,21,0,Mongólia,AWPer
Gabriel Toledo,FalleN,32,14,Brasil,In-game leader
Marcelo Cespedes,chelo,25,1,Brasil,Rifler (entry fragger)
Yuri Boian,yuurih,24,4,Brasil,Rifler
Kaike Cerato,KSCERATO,24,4,Brasil,Rifler
Kayke Bertolucci,kye,19,0,Brasil,Rifler
Christopher Nong,dexter,29,1,Austrália,In-game leader
Jay Tregillgas,Liazz,26,0,Austrália,Rifler (lurker)
Alistair Johnston,aliStair,26,0,Austrália,AWPer
Joshua Potter,INS,25,0,Austrália,In-game leader
Declan Portelli,Vexite,19,0,Austrália,Rifler
